,start,end,width,gene_id,direction,names
127,561,570,10,180663,-,fkh-2
128,666,675,10,182221,-,srab-2
129,676,685,10,183908,-,D1046.2
130,104,113,10,171804,-,ubxn-1
131,431,440,10,171804,-,ubxn-1
132,374,383,10,185732,-,F44D12.10
133,213,222,10,173978,-,K05F1.5
134,447,456,10,175707,-,cid-1
135,317,326,10,179058,-,egl-46
136,905,914,10,176844,-,R02D3.7
137,985,994,10,175612,-,T23F11.4
138,259,268,10,178338,-,tlp-1
139,158,167,10,189182,-,W04B5.2
140,407,416,10,177603,-,rabs-5
141,358,367,10,171918,-,Y47G6A.7
142,62,71,10,175040,-,mcd-1
143,815,824,10,191237,-,ZK177.3
144,639,648,10,176095,-,ZK652.6
145,621,630,10,174194,-,ada-2
146,432,441,10,3565634,-,Y48G8AL.10
147,307,316,10,184756,-,F21A9.2
148,109,118,10,181580,-,egrh-1
149,831,840,10,183539,-,ref-2
150,962,971,10,174705,-,pqm-1
151,299,308,10,179212,-,W02D7.6
152,725,734,10,189783,-,sptf-3
153,750,759,10,184285,-,F10B5.3
154,943,952,10,188228,-,T07D10.3
155,191,200,10,173366,-,klu-1
156,554,563,10,181132,-,C28G1.4
157,137,146,10,172470,-,ztf-15
158,912,921,10,180756,-,ztf-16
159,778,787,10,175800,-,B0336.3
160,886,895,10,179733,-,ccch-3
161,987,996,10,179224,-,pos-1
162,757,766,10,179183,-,oma-2
163,183,192,10,173045,-,dhhc-7
164,720,729,10,183426,-,dhhc-9
165,403,412,10,180745,-,dhhc-10
166,754,763,10,176731,-,dhhc-8
167,881,890,10,176731,-,dhhc-8
168,393,402,10,191420,-,dhhc-4
169,143,152,10,266926,-,mab-23
170,477,486,10,266926,-,mab-23
171,90,99,10,180532,-,peb-1
172,907,916,10,181250,-,elt-2
173,619,628,10,181249,-,elt-4
174,914,923,10,191706,-,med-2
175,658,667,10,182174,-,nhr-149
176,41,50,10,180725,-,nhr-35
177,931,940,10,182727,-,nhr-156
178,938,947,10,182727,-,nhr-156
179,712,721,10,177601,-,nhr-31
180,873,882,10,177601,-,nhr-31
181,743,752,10,172251,-,nhr-2
182,171,180,10,183178,-,nhr-161
183,278,287,10,183178,-,nhr-161
184,757,766,10,177350,-,nhr-46
185,616,625,10,183613,-,nhr-167
186,438,447,10,181263,-,daf-12
187,682,691,10,181263,-,daf-12
188,608,617,10,177839,-,nhr-4
189,541,550,10,185593,-,nhr-182
190,803,812,10,185593,-,nhr-182
191,5,14,10,185729,-,nhr-133
192,448,457,10,185912,-,nhr-188
193,235,244,10,3565118,-,nhr-283
194,720,729,10,175167,-,nhr-80
195,194,203,10,179589,-,nhr-68
196,950,959,10,179588,-,nhr-101
197,247,256,10,174066,-,nhr-22
198,216,225,10,187056,-,nhr-198
199,105,114,10,187410,-,nhr-203
200,816,825,10,187716,-,nhr-269
201,520,529,10,180560,-,nhr-40
202,217,226,10,178813,-,nhr-57
203,283,292,10,188212,-,nhr-26
204,726,735,10,188330,-,nhr-217
205,172,181,10,180254,-,nhr-95
206,274,283,10,180115,-,nhr-112
207,430,439,10,191718,-,nhr-9
208,686,695,10,178577,-,nhr-90
209,141,150,10,191205,-,nhr-253
210,318,327,10,191205,-,nhr-253
211,140,149,10,191206,-,nhr-254
212,87,96,10,178915,-,B0238.11
213,184,193,10,176376,-,ech-6
214,590,599,10,madf-7,-,madf-7
