,seqnames,start,end,width,strand,gene_id,gene_name,BoundBy
37,chrIII,7535541,7535550,10,-,176068,lin-39,LIN-39_at_L1
38,chrIII,7535541,7535550,10,-,176068,lin-39,LIN-39_at_L2
39,chrIII,7535541,7535550,10,-,176068,lin-39,LIN-39_at_L3
40,chrIII,7535541,7535550,10,-,176068,lin-39,LIN-39_at_L4
41,chrIII,7535541,7535550,10,-,176068,lin-39,MAB-5_at_L2
42,chrIII,7783537,7783546,10,-,176091,mab-5,MAB-5_at_L2
43,chrIII,7784164,7784173,10,-,176091,mab-5,MAB-5_at_Emb
44,chrIII,7784164,7784173,10,-,176091,mab-5,MAB-5_at_L2
45,chrIII,7784164,7784173,10,-,176091,mab-5,MAB-5_at_L3
46,chrIII,7784164,7784173,10,-,176091,mab-5,EGL-5_at_L3
47,chrIII,9868080,9868089,10,-,191420,dhhc-4,LIN-39_at_L1
48,chrIII,9868080,9868089,10,-,191420,dhhc-4,LIN-39_at_L3
49,chrIII,9868080,9868089,10,-,191420,dhhc-4,LIN-39_at_L4
50,chrIII,9868080,9868089,10,-,191420,dhhc-4,MAB-5_at_Emb
51,chrIII,9868080,9868089,10,-,191420,dhhc-4,MAB-5_at_L2
52,chrIII,9868080,9868089,10,-,191420,dhhc-4,MAB-5_at_L3
53,chrIII,9868080,9868089,10,-,191420,dhhc-4,EGL-5_at_L3
54,chrIV,425553,425562,10,+,176870,Y66H1A.4,LIN-39_at_L1
55,chrIV,3311239,3311248,10,+,177099,zip-11,LIN-39_at_L1
56,chrIV,3311239,3311248,10,+,177099,zip-11,LIN-39_at_L3
57,chrIV,3311239,3311248,10,+,177099,zip-11,LIN-39_at_L4
58,chrIV,3311239,3311248,10,+,177099,zip-11,MAB-5_at_L3
59,chrIV,10812260,10812269,10,+,3565074,miz-1,MAB-5_at_L3
60,chrIV,10812260,10812269,10,+,3565074,miz-1,EGL-5_at_L3
61,chrIV,10461897,10461906,10,-,177938,mec-3,LIN-39_at_L3
62,chrIV,13416436,13416445,10,-,190458,aptf-2,LIN-39_at_L1
63,chrIV,13704190,13704199,10,-,178338,tlp-1,LIN-39_at_L1
64,chrIV,13704190,13704199,10,-,178338,tlp-1,LIN-39_at_L2
65,chrIV,13704190,13704199,10,-,178338,tlp-1,LIN-39_at_L3
66,chrIV,13704190,13704199,10,-,178338,tlp-1,LIN-39_at_L4
67,chrIV,13704190,13704199,10,-,178338,tlp-1,MAB-5_at_Emb
68,chrIV,13704190,13704199,10,-,178338,tlp-1,MAB-5_at_L2
69,chrIV,13704190,13704199,10,-,178338,tlp-1,MAB-5_at_L3
70,chrIV,13704190,13704199,10,-,178338,tlp-1,EGL-5_at_L3
71,chrV,4131696,4131705,10,+,178813,nhr-57,LIN-39_at_L1
72,chrV,4131696,4131705,10,+,178813,nhr-57,LIN-39_at_L3
73,chrV,4131696,4131705,10,+,178813,nhr-57,LIN-39_at_L4
74,chrV,4497389,4497398,10,+,178845,unc-62,LIN-39_at_L1
75,chrV,4497389,4497398,10,+,178845,unc-62,LIN-39_at_L3
76,chrV,4497389,4497398,10,+,178845,unc-62,LIN-39_at_L4
77,chrV,4497389,4497398,10,+,178845,unc-62,MAB-5_at_L2
78,chrV,4497389,4497398,10,+,178845,unc-62,MAB-5_at_L3
79,chrV,5269378,5269387,10,+,178915,B0238.11,LIN-39_at_L1
80,chrV,5269378,5269387,10,+,178915,B0238.11,LIN-39_at_L4
81,chrV,5269378,5269387,10,+,178915,B0238.11,MAB-5_at_L3
82,chrV,5269378,5269387,10,+,178915,B0238.11,EGL-5_at_L3
83,chrV,9731584,9731593,10,+,179365,drap-1,LIN-39_at_L1
84,chrV,9731584,9731593,10,+,179365,drap-1,LIN-39_at_L3
85,chrV,9731584,9731593,10,+,179365,drap-1,LIN-39_at_L4
86,chrV,9731584,9731593,10,+,179365,drap-1,MAB-5_at_L2
87,chrV,9731584,9731593,10,+,179365,drap-1,MAB-5_at_L3
88,chrV,9731584,9731593,10,+,179365,drap-1,EGL-5_at_L3
89,chrV,10632547,10632556,10,+,266926,mab-23,LIN-39_at_L1
90,chrV,10632551,10632560,10,+,266926,mab-23,LIN-39_at_L1
91,chrV,11573239,11573248,10,+,179589,nhr-68,LIN-39_at_L1
92,chrV,11573239,11573248,10,+,179589,nhr-68,LIN-39_at_L4
93,chrV,8130208,8130217,10,-,179192,spr-1,LIN-39_at_L1
94,chrV,8130208,8130217,10,-,179192,spr-1,MAB-5_at_Emb
95,chrV,8130208,8130217,10,-,179192,spr-1,MAB-5_at_L2
96,chrV,8130208,8130217,10,-,179192,spr-1,MAB-5_at_L3
97,chrX,2215527,2215536,10,+,180532,peb-1,MAB-5_at_L3
98,chrX,2593140,2593149,10,+,180560,nhr-40,MAB-5_at_L3
99,chrX,4532613,4532622,10,+,180725,nhr-35,EGL-5_at_L3
100,chrX,6741659,6741668,10,+,180942,mdl-1,LIN-39_at_L1
101,chrX,6741659,6741668,10,+,180942,mdl-1,LIN-39_at_L3
102,chrX,6741659,6741668,10,+,180942,mdl-1,LIN-39_at_L4
103,chrX,6741659,6741668,10,+,180942,mdl-1,MAB-5_at_L2
104,chrX,6741659,6741668,10,+,180942,mdl-1,MAB-5_at_L3
105,chrX,6741659,6741668,10,+,180942,mdl-1,EGL-5_at_L3
106,chrX,7743348,7743357,10,+,183539,ref-2,LIN-39_at_L1
107,chrX,7743348,7743357,10,+,183539,ref-2,LIN-39_at_L4
108,chrX,14773132,14773141,10,+,181573,unc-3,LIN-39_at_L3
109,chrX,14845757,14845766,10,+,181580,egrh-1,LIN-39_at_L3
110,chrX,15309285,15309294,10,+,181621,nhr-91,LIN-39_at_L2
111,chrX,13351554,13351563,10,-,181457,mxl-3,LIN-39_at_L3
112,chrX,13351554,13351563,10,-,181457,mxl-3,MAB-5_at_L3
