,start,end,width,gene_id,direction,names
129,175,184,10,177016,+,lin-1
130,70,79,10,184719,+,plp-2
131,169,178,10,180927,+,ets-4
132,244,253,10,173749,+,ast-1
133,273,282,10,173749,+,ast-1
134,23,32,10,181465,+,fkh-3
135,960,969,10,181465,+,fkh-3
136,183,192,10,181466,+,fkh-4
137,272,281,10,174721,+,unc-130
138,804,813,10,180670,+,fkh-9
139,933,942,10,173740,+,lin-31
140,424,433,10,174577,+,daf-19
141,139,148,10,174341,+,efl-3
142,157,166,10,174341,+,efl-3
143,160,169,10,172769,+,C17E4.6
144,580,589,10,172441,+,F22D6.2
145,253,262,10,191389,+,ZK673.4
146,270,279,10,181792,+,2L52.1
147,175,184,10,177731,+,C01F6.9
148,729,738,10,182124,+,C02F5.12
149,954,963,10,182124,+,C02F5.12
150,342,351,10,173716,+,C46E10.8
151,775,784,10,173716,+,C46E10.8
152,432,441,10,172516,+,D2030.7
153,494,503,10,185560,+,F40G9.14
154,524,533,10,24104588,+,irld-33
155,830,839,10,177529,+,F49E8.2
156,347,356,10,186155,+,frpr-9
157,883,892,10,186155,+,frpr-9
158,305,314,10,178384,+,F55B11.4
159,479,488,10,173738,+,sea-2
160,300,309,10,259619,+,K11D12.12
161,571,580,10,3565259,+,zim-1
162,780,789,10,172422,+,ztf-4
163,898,907,10,179832,+,eea-1
164,327,336,10,188732,+,T22C8.4
165,596,605,10,188732,+,T22C8.4
166,359,368,10,175612,+,T23F11.4
167,413,422,10,171918,+,Y47G6A.7
168,604,613,10,171918,+,Y47G6A.7
169,103,112,10,190015,+,sup-35
170,9,18,10,174971,+,ztf-22
171,553,562,10,259490,+,Y82E9BR.17
172,219,228,10,190777,+,atg-4.1
173,25,34,10,191237,+,ZK177.3
174,139,148,10,176090,+,snu-23
175,154,163,10,176090,+,snu-23
176,181,190,10,176090,+,snu-23
177,886,895,10,172504,+,pbrm-1
178,722,731,10,179505,+,saeg-1
179,278,287,10,3565634,+,Y48G8AL.10
180,321,330,10,3565634,+,Y48G8AL.10
181,654,663,10,172596,+,spr-4
182,482,491,10,180403,+,B0310.2
183,601,610,10,182317,+,ztf-30
184,619,628,10,177545,+,C08G9.2
185,580,589,10,185364,+,ztf-28
186,264,273,10,181701,+,sdc-1
187,752,761,10,180599,+,K10B3.5
188,765,774,10,175554,+,R10E4.11
189,759,768,10,191448,+,sdz-38
190,917,926,10,174286,+,swsn-7
191,291,300,10,182489,+,mnm-2
192,421,430,10,3896760,+,nsy-7
193,474,483,10,3896760,+,nsy-7
194,581,590,10,3896760,+,nsy-7
195,585,594,10,181580,+,egrh-1
196,491,500,10,183539,+,ref-2
197,688,697,10,172699,+,ztf-26
198,365,374,10,175404,+,klf-1
199,575,584,10,188733,+,sptf-2
200,193,202,10,181714,+,pat-9
201,760,769,10,181714,+,pat-9
202,764,773,10,181714,+,pat-9
203,489,498,10,189783,+,sptf-3
204,564,573,10,172339,+,klu-2
205,175,184,10,173850,+,ZK546.5
206,206,215,10,184285,+,F10B5.3
207,323,332,10,185718,+,ces-1
208,981,990,10,185718,+,ces-1
209,251,260,10,186375,+,F56D1.1
210,82,91,10,180522,+,lsy-2
211,553,562,10,172844,+,lsl-1
212,122,131,10,172470,+,ztf-15
213,940,949,10,178004,+,Y5F2A.4
214,235,244,10,182454,+,C09F5.3
215,674,683,10,182953,+,let-391
216,935,944,10,171880,+,ztf-23
217,669,678,10,172435,+,sem-4
218,187,196,10,174505,+,zfp-2
219,627,636,10,174505,+,zfp-2
220,431,440,10,181271,+,sma-9
221,883,892,10,181271,+,sma-9
222,595,604,10,173348,+,hinf-1
223,45,54,10,177249,+,eor-1
224,572,581,10,177249,+,eor-1
225,213,222,10,190310,+,Y55F3AM.14
226,83,92,10,172845,+,ztf-11
227,544,553,10,172845,+,ztf-11
228,443,452,10,177568,+,zgpa-1
229,890,899,10,176507,+,rnf-113
230,334,343,10,174504,+,mex-6
231,379,388,10,181059,+,C34D10.2
232,640,649,10,183235,+,C35D6.4
233,659,668,10,172538,+,F27D4.4
234,936,945,10,179224,+,pos-1
235,148,157,10,177643,+,T26A8.4
236,186,195,10,178296,+,mex-5
237,843,852,10,178477,+,Y116A8C.19
238,190,199,10,178412,+,ccch-5
239,121,130,10,179183,+,oma-2
240,89,98,10,173045,+,dhhc-7
241,984,993,10,186797,+,dhhc-13
242,816,825,10,191420,+,dhhc-4
243,352,361,10,181581,+,dmd-4
244,988,997,10,181581,+,dmd-4
245,511,520,10,266926,+,mab-23
246,150,159,10,184287,+,dmd-5
247,136,145,10,175670,+,flh-2
248,369,378,10,189435,+,flh-3
249,936,945,10,181250,+,elt-2
250,494,503,10,176993,+,elt-6
251,151,160,10,176992,+,egl-18
252,592,601,10,176992,+,egl-18
253,574,583,10,181503,+,elt-3
254,679,688,10,171592,+,rcor-1
255,745,754,10,172733,+,gei-17
256,73,82,10,182276,+,nhr-76
257,948,957,10,182297,+,nhr-150
258,68,77,10,180068,+,nhr-63
259,441,450,10,180068,+,nhr-63
260,694,703,10,177476,+,nhr-105
261,205,214,10,180725,+,nhr-35
262,302,311,10,181705,+,nhr-28
263,535,544,10,181705,+,nhr-28
264,654,663,10,182564,+,nhr-153
265,862,871,10,182564,+,nhr-153
266,295,304,10,182565,+,nhr-154
267,765,774,10,182565,+,nhr-154
268,236,245,10,182566,+,nhr-136
269,279,288,10,191721,+,nhr-72
270,513,522,10,182733,+,nhr-124
271,538,547,10,180009,+,sdc-3
272,48,57,10,177806,+,nhr-100
273,774,783,10,177806,+,nhr-100
274,427,436,10,3565904,+,nhr-138
275,615,624,10,3565904,+,nhr-138
276,363,372,10,183034,+,srt-58
277,710,719,10,183178,+,nhr-161
278,944,953,10,183178,+,nhr-161
279,733,742,10,183179,+,nhr-139
280,6,15,10,171884,+,nhr-64
281,486,495,10,183558,+,nhr-165
282,633,642,10,183611,+,nhr-261
283,415,424,10,353455,+,nhr-168
284,924,933,10,183768,+,nhr-169
285,214,223,10,183862,+,nhr-173
286,599,608,10,184021,+,nhr-174
287,759,768,10,184021,+,nhr-174
288,60,69,10,24104398,+,nhr-36
289,75,84,10,184443,+,nhr-264
290,543,552,10,184567,+,nhr-281
291,2,11,10,184557,+,nhr-177
292,811,820,10,184562,+,nhr-179
293,560,569,10,184560,+,nhr-178
294,705,714,10,184560,+,nhr-178
295,37,46,10,180106,+,nhr-54
296,316,325,10,181231,+,sex-1
297,425,434,10,185731,+,nhr-126
298,570,579,10,185731,+,nhr-126
299,751,760,10,185728,+,nhr-134
300,327,336,10,178702,+,nhr-18
301,132,141,10,178701,+,nhr-103
302,293,302,10,178700,+,nhr-128
303,141,150,10,178699,+,nhr-56
304,168,177,10,185729,+,nhr-133
305,830,839,10,185740,+,nhr-142
306,83,92,10,185757,+,nhr-111
307,726,735,10,185757,+,nhr-111
308,459,468,10,185909,+,nhr-186
309,376,385,10,185912,+,nhr-188
310,920,929,10,185999,+,nhr-190
311,452,461,10,186410,+,nhr-266
312,518,527,10,186410,+,nhr-266
313,551,560,10,180059,+,nhr-60
314,912,921,10,180059,+,nhr-60
315,972,981,10,186431,+,nhr-192
316,153,162,10,186625,+,nhr-195
317,829,838,10,186625,+,nhr-195
318,842,851,10,186625,+,nhr-195
319,65,74,10,186626,+,nhr-143
320,296,305,10,186626,+,nhr-143
321,87,96,10,180052,+,nhr-51
322,672,681,10,180053,+,nhr-53
323,581,590,10,187054,+,nhr-268
324,53,62,10,187055,+,nhr-197
325,754,763,10,187056,+,nhr-198
326,511,520,10,181491,+,nhr-71
327,443,452,10,187340,+,nhr-119
328,280,289,10,187567,+,nhr-205
329,157,166,10,187660,+,nhr-206
330,75,84,10,187661,+,nhr-207
331,202,211,10,187662,+,nhr-208
332,602,611,10,187663,+,nhr-209
333,810,819,10,187663,+,nhr-209
334,189,198,10,187716,+,nhr-269
335,416,425,10,181783,+,nhr-1
336,448,457,10,178571,+,nhr-106
337,921,930,10,178571,+,nhr-106
338,528,537,10,187964,+,nhr-212
339,876,885,10,187964,+,nhr-212
340,51,60,10,180560,+,nhr-40
341,231,240,10,180560,+,nhr-40
342,944,953,10,180560,+,nhr-40
343,871,880,10,180062,+,nhr-102
344,367,376,10,188212,+,nhr-26
345,447,456,10,188451,+,nhr-273
346,966,975,10,188451,+,nhr-273
347,971,980,10,173781,+,nhr-16
348,391,400,10,191726,+,nhr-77
349,949,958,10,172840,+,nhr-69
350,32,41,10,188826,+,nhr-221
351,393,402,10,180265,+,nhr-79
352,749,758,10,180265,+,nhr-79
353,976,985,10,180265,+,nhr-79
354,894,903,10,188975,+,nhr-226
355,162,171,10,188976,+,nhr-227
356,626,635,10,191732,+,nhr-85
357,807,816,10,191001,+,nhr-229
358,976,985,10,181621,+,nhr-91
359,781,790,10,180230,+,nhr-65
360,851,860,10,189445,+,nhr-231
361,431,440,10,179426,+,nhr-232
362,703,712,10,189569,+,nhr-233
363,366,375,10,6418682,+,nhr-146
364,873,882,10,6418682,+,nhr-146
365,955,964,10,6418682,+,nhr-146
366,595,604,10,176972,+,nhr-87
367,940,949,10,176972,+,nhr-87
368,731,740,10,189970,+,nhr-237
369,62,71,10,178696,+,nhr-13
370,862,871,10,190581,+,nhr-276
371,858,867,10,191718,+,nhr-9
372,639,648,10,191322,+,nhr-33
373,164,173,10,4363091,+,nhr-286
374,507,516,10,178915,+,B0238.11
375,263,272,10,175723,+,gop-3
376,143,152,10,184210,+,F08G12.3
377,279,288,10,174951,+,zyx-1
378,601,610,10,178064,+,H02I12.5
379,862,871,10,178305,+,Y62E10A.14
380,297,306,10,176870,+,Y66H1A.4
381,384,393,10,176870,+,Y66H1A.4
382,390,399,10,173536,+,ZC204.12
383,960,969,10,madf-7,+,madf-7
384,205,214,10,191202,+,nhr-278
385,628,637,10,191202,+,nhr-278
386,613,622,10,185047,-,aptf-3
387,580,589,10,188793,-,cfi-1
388,46,55,10,181312,-,C34F6.9
389,96,105,10,181312,-,C34F6.9
390,574,583,10,181312,-,C34F6.9
391,655,664,10,181312,-,C34F6.9
392,567,576,10,3565014,-,attf-5
393,16,25,10,176802,-,set-16
394,881,890,10,176517,-,athp-1
395,197,206,10,177165,-,pqn-75
396,514,523,10,177165,-,pqn-75
397,646,655,10,178479,-,athp-3
398,844,853,10,173788,-,hlh-1
399,289,298,10,6418830,-,ceh-63
400,640,649,10,182717,-,hlh-25
401,573,582,10,172889,-,aha-1
402,687,696,10,172889,-,aha-1
403,595,604,10,182980,-,hlh-12
404,986,995,10,183973,-,hlh-16
405,242,251,10,180359,-,hif-1
406,85,94,10,175184,-,mxl-2
407,833,842,10,181457,-,mxl-3
408,185,194,10,185980,-,hlh-13
409,707,716,10,176360,-,hlh-11
410,491,500,10,172458,-,hlh-2
411,415,424,10,176372,-,hlh-4
412,676,685,10,176372,-,hlh-4
413,148,157,10,191703,-,lin-32
414,341,350,10,189728,-,hlh-33
415,834,843,10,191402,-,hlh-10
416,351,360,10,183204,-,zip-5
417,934,943,10,175924,-,zip-8
418,799,808,10,178987,-,fos-1
419,66,75,10,175240,-,zip-2
420,910,919,10,175240,-,zip-2
421,679,688,10,175541,-,xbp-1
422,16,25,10,177343,-,skn-1
423,317,326,10,177099,-,zip-11
424,973,982,10,173385,-,nfyc-1
425,45,54,10,181368,-,nfya-1
426,636,645,10,173435,-,nfyb-1
427,416,425,10,172626,-,lin-28
428,457,466,10,172219,-,cey-2
429,128,137,10,179809,-,ceh-79
430,411,420,10,179809,-,ceh-79
431,670,679,10,179809,-,ceh-79
432,917,926,10,179809,-,ceh-79
433,720,729,10,173597,-,ceh-86
434,724,733,10,188474,-,ceh-54
435,464,473,10,180394,-,ceh-93
436,178,187,10,176594,-,ceh-91
437,510,519,10,176594,-,ceh-91
438,932,941,10,182756,-,ceh-48
439,164,173,10,179001,-,ceh-49
440,918,927,10,180504,-,ceh-21
441,23,32,10,176068,-,lin-39
442,701,710,10,176068,-,lin-39
443,906,915,10,176068,-,lin-39
444,384,393,10,176091,-,mab-5
445,412,421,10,176091,-,mab-5
446,680,689,10,191618,-,ceh-16
447,202,211,10,175638,-,pal-1
448,941,950,10,175638,-,pal-1
449,115,124,10,177590,-,ceh-19
450,69,78,10,172255,-,ceh-12
451,244,253,10,172255,-,ceh-12
452,400,409,10,172255,-,ceh-12
453,404,413,10,172255,-,ceh-12
454,945,954,10,172255,-,ceh-12
455,156,165,10,176069,-,ceh-13
456,606,615,10,176640,-,php-3
457,922,931,10,180233,-,ceh-51
458,26,35,10,172236,-,lim-7
459,939,948,10,172236,-,lim-7
460,151,160,10,177938,-,mec-3
461,530,539,10,191616,-,ceh-5
462,205,214,10,175581,-,ceh-43
463,684,693,10,191621,-,ceh-31
464,472,481,10,191620,-,ceh-30
465,473,482,10,180751,-,mls-2
466,439,448,10,191614,-,ceh-1
467,158,167,10,179877,-,ceh-24
468,470,479,10,179877,-,ceh-24
469,101,110,10,180671,-,ceh-18
470,407,416,10,174894,-,ceh-100
471,15,24,10,172059,-,ceh-17
472,664,673,10,192081,-,unc-42
473,58,67,10,180313,-,ttx-1
474,459,468,10,190204,-,eyg-1
475,575,584,10,190204,-,eyg-1
476,853,862,10,190204,-,eyg-1
477,251,260,10,178265,-,unc-30
478,74,83,10,181251,-,vab-3
479,239,248,10,172789,-,irx-1
480,719,728,10,178514,-,ceh-88
481,23,32,10,191624,-,ceh-40
482,645,654,10,172250,-,hmg-3
483,554,563,10,185946,-,hmg-6
484,122,131,10,181573,-,unc-3
485,38,47,10,179386,-,madf-4
486,466,475,10,179386,-,madf-4
487,373,382,10,172732,-,mef-2
488,501,510,10,187612,-,daf-8
489,323,332,10,175815,-,sma-4
490,620,629,10,175815,-,sma-4
491,391,400,10,176020,-,R151.8
492,74,83,10,172639,-,cdc-5L
493,466,475,10,172711,-,snpc-4
494,590,599,10,172711,-,snpc-4
495,627,636,10,172711,-,snpc-4
496,699,708,10,172711,-,snpc-4
497,248,257,10,172616,-,cep-1
498,480,489,10,172616,-,cep-1
499,117,126,10,187062,-,pax-2
500,430,439,10,182466,-,npax-4
501,139,148,10,3565074,-,miz-1
502,538,547,10,172243,-,rnt-1
503,146,155,10,172753,-,F26H9.2
504,186,195,10,173710,-,sea-1
505,560,569,10,186741,-,mls-1
506,687,696,10,186741,-,mls-1
507,931,940,10,176450,-,tbx-8
508,991,1000,10,176450,-,tbx-8
509,702,711,10,190678,-,tbx-39
510,981,990,10,190678,-,tbx-39
511,371,380,10,260030,-,tbx-7
512,454,463,10,260030,-,tbx-7
513,465,474,10,260030,-,tbx-7
514,781,790,10,191435,-,tbx-36
515,539,548,10,188577,-,T18D3.7
516,665,674,10,188577,-,T18D3.7
517,986,995,10,184684,-,F19F10.1
518,576,585,10,180927,-,ets-4
519,710,719,10,173749,-,ast-1
520,719,728,10,173749,-,ast-1
521,973,982,10,181465,-,fkh-3
522,709,718,10,181466,-,fkh-4
523,932,941,10,172331,-,let-381
524,228,237,10,180357,-,pha-4
525,580,589,10,174026,-,fkh-8
526,824,833,10,180670,-,fkh-9
527,561,570,10,180663,-,fkh-2
528,105,114,10,177267,-,pes-1
529,980,989,10,174577,-,daf-19
530,216,225,10,174458,-,dpl-1
531,563,572,10,176576,-,bed-2
532,7,16,10,182221,-,srab-2
533,666,675,10,182221,-,srab-2
534,368,377,10,182319,-,C06E2.1
535,689,698,10,182319,-,C06E2.1
536,107,116,10,175832,-,dpff-1
537,278,287,10,175832,-,dpff-1
538,895,904,10,175832,-,dpff-1
539,650,659,10,173716,-,C46E10.8
540,414,423,10,174148,-,C52E12.1
541,676,685,10,183908,-,D1046.2
542,653,662,10,184771,-,F21D5.9
543,857,866,10,184794,-,F21G4.5
544,104,113,10,171804,-,ubxn-1
545,431,440,10,171804,-,ubxn-1
546,619,628,10,171804,-,ubxn-1
547,129,138,10,172540,-,F27D4.6
548,944,953,10,174707,-,lir-3
549,374,383,10,185732,-,F44D12.10
550,127,136,10,172909,-,sptf-1
551,463,472,10,172909,-,sptf-1
552,428,437,10,186155,-,frpr-9
553,213,222,10,173978,-,K05F1.5
554,738,747,10,173978,-,K05F1.5
555,447,456,10,175707,-,cid-1
556,692,701,10,259619,-,K11D12.12
557,317,326,10,179058,-,egl-46
558,409,418,10,179058,-,egl-46
559,625,634,10,179058,-,egl-46
560,6,15,10,187492,-,ztf-14
561,905,914,10,176844,-,R02D3.7
562,104,113,10,187601,-,R05D3.3
563,81,90,10,188197,-,T06G6.5
564,134,143,10,188246,-,zim-3
565,985,994,10,175612,-,T23F11.4
566,259,268,10,178338,-,tlp-1
567,872,881,10,178338,-,tlp-1
568,158,167,10,189182,-,W04B5.2
569,552,561,10,259399,-,Y37F4.6
570,407,416,10,177603,-,rabs-5
571,358,367,10,171918,-,Y47G6A.7
572,371,380,10,171918,-,Y47G6A.7
573,62,71,10,175040,-,mcd-1
574,815,824,10,191237,-,ZK177.3
575,639,648,10,176095,-,ZK652.6
576,615,624,10,176090,-,snu-23
577,630,639,10,176090,-,snu-23
578,657,666,10,176090,-,snu-23
579,339,348,10,172504,-,pbrm-1
580,499,508,10,172504,-,pbrm-1
581,621,630,10,174194,-,ada-2
582,683,692,10,174194,-,ada-2
583,241,250,10,179505,-,saeg-1
584,335,344,10,3565634,-,Y48G8AL.10
585,432,441,10,3565634,-,Y48G8AL.10
586,475,484,10,3565634,-,Y48G8AL.10
587,272,281,10,182317,-,ztf-30
588,307,316,10,184756,-,F21A9.2
589,866,875,10,185364,-,ztf-28
590,658,667,10,176245,-,F44E2.7
591,829,838,10,181701,-,sdc-1
592,184,193,10,186116,-,ztf-13
593,6,15,10,175554,-,R10E4.11
594,227,236,10,175554,-,R10E4.11
595,3,12,10,175905,-,C16A3.4
596,407,416,10,3896760,-,nsy-7
597,109,118,10,181580,-,egrh-1
598,831,840,10,183539,-,ref-2
599,658,667,10,181020,-,unc-98
600,962,971,10,174705,-,pqm-1
601,304,313,10,172699,-,ztf-26
602,674,683,10,172100,-,F57C9.4
603,800,809,10,188733,-,sptf-2
604,483,492,10,181714,-,pat-9
605,299,308,10,179212,-,W02D7.6
606,93,102,10,177118,-,Y37E11B.1
607,725,734,10,189783,-,sptf-3
608,48,57,10,175726,-,ztf-8
609,336,345,10,173850,-,ZK546.5
610,329,338,10,175173,-,attf-3
611,580,589,10,353399,-,lst-5
612,395,404,10,184285,-,F10B5.3
613,750,759,10,184285,-,F10B5.3
614,408,417,10,188228,-,T07D10.3
615,943,952,10,188228,-,T07D10.3
616,191,200,10,173366,-,klu-1
617,651,660,10,173366,-,klu-1
618,525,534,10,180985,-,syd-9
619,554,563,10,181132,-,C28G1.4
620,747,756,10,180522,-,lsy-2
621,448,457,10,178074,-,mep-1
622,555,564,10,178074,-,mep-1
623,137,146,10,172470,-,ztf-15
624,911,920,10,176548,-,tra-1
625,217,226,10,184991,-,F26F4.8
626,249,258,10,191363,-,ehn-3
627,949,958,10,191363,-,ehn-3
628,36,45,10,180722,-,spr-3
629,912,921,10,180756,-,ztf-16
630,559,568,10,173348,-,hinf-1
631,570,579,10,171670,-,zfh-2
632,778,787,10,175800,-,B0336.3
633,804,813,10,175800,-,B0336.3
634,983,992,10,177568,-,zgpa-1
635,886,895,10,179733,-,ccch-3
636,924,933,10,179733,-,ccch-3
637,64,73,10,181059,-,C34D10.2
638,465,474,10,181059,-,C34D10.2
639,103,112,10,179584,-,ccch-1
640,987,996,10,179224,-,pos-1
641,806,815,10,178296,-,mex-5
642,269,278,10,174836,-,mex-1
643,556,565,10,178476,-,dct-13
644,866,875,10,178476,-,dct-13
645,603,612,10,176667,-,pie-1
646,315,324,10,178412,-,ccch-5
647,757,766,10,179183,-,oma-2
648,348,357,10,176918,-,Y55F3AM.6
649,179,188,10,173045,-,dhhc-7
650,183,192,10,173045,-,dhhc-7
651,720,729,10,183426,-,dhhc-9
652,799,808,10,181606,-,dhhc-1
653,57,66,10,172257,-,dhhc-3
654,963,972,10,186602,-,dhhc-12
655,26,35,10,186797,-,dhhc-13
656,403,412,10,180745,-,dhhc-10
657,850,859,10,180745,-,dhhc-10
658,327,336,10,178158,-,dhhc-6
659,48,57,10,187870,-,dhhc-5
660,783,792,10,187870,-,dhhc-5
661,754,763,10,176731,-,dhhc-8
662,758,767,10,176731,-,dhhc-8
663,881,890,10,176731,-,dhhc-8
664,176,185,10,191420,-,dhhc-4
665,393,402,10,191420,-,dhhc-4
666,41,50,10,181581,-,dmd-4
667,143,152,10,266926,-,mab-23
668,477,486,10,266926,-,mab-23
669,90,99,10,180532,-,peb-1
670,178,187,10,177749,-,flh-1
671,927,936,10,189435,-,flh-3
672,742,751,10,181250,-,elt-2
673,907,916,10,181250,-,elt-2
674,619,628,10,181249,-,elt-4
675,914,923,10,191706,-,med-2
676,918,927,10,191706,-,med-2
677,374,383,10,191705,-,med-1
678,247,256,10,172733,-,gei-17
679,200,209,10,182172,-,nhr-148
680,279,288,10,182172,-,nhr-148
681,356,365,10,182174,-,nhr-149
682,520,529,10,182174,-,nhr-149
683,658,667,10,182174,-,nhr-149
684,565,574,10,180067,-,nhr-50
685,298,307,10,177476,-,nhr-105
686,701,710,10,177476,-,nhr-105
687,41,50,10,180725,-,nhr-35
688,231,240,10,178024,-,nhr-67
689,1,10,10,181705,-,nhr-28
690,605,614,10,181705,-,nhr-28
691,880,889,10,181705,-,nhr-28
692,338,347,10,182564,-,nhr-153
693,532,541,10,182564,-,nhr-153
694,887,896,10,182566,-,nhr-136
695,932,941,10,182697,-,nhr-257
696,931,940,10,182727,-,nhr-156
697,938,947,10,182727,-,nhr-156
698,974,983,10,182731,-,nhr-158
699,222,231,10,182732,-,nhr-159
700,539,548,10,182733,-,nhr-124
701,712,721,10,177601,-,nhr-31
702,873,882,10,177601,-,nhr-31
703,366,375,10,182927,-,nhr-258
704,743,752,10,172251,-,nhr-2
705,465,474,10,179084,-,nhr-42
706,171,180,10,183178,-,nhr-161
707,278,287,10,183178,-,nhr-161
708,835,844,10,183179,-,nhr-139
709,753,762,10,177350,-,nhr-46
710,757,766,10,177350,-,nhr-46
711,389,398,10,191728,-,nhr-81
712,509,518,10,183613,-,nhr-167
713,616,625,10,183613,-,nhr-167
714,630,639,10,183613,-,nhr-167
715,536,545,10,183865,-,nhr-137
716,870,879,10,174512,-,nhr-19
717,969,978,10,184026,-,nhr-89
718,438,447,10,181263,-,daf-12
719,682,691,10,181263,-,daf-12
720,813,822,10,181432,-,nhr-25
721,29,38,10,184496,-,nhr-176
722,820,829,10,184496,-,nhr-176
723,181,190,10,184562,-,nhr-179
724,470,479,10,184562,-,nhr-179
725,905,914,10,24104436,-,nhr-117
726,685,694,10,184560,-,nhr-178
727,736,745,10,180738,-,nhr-45
728,608,617,10,177839,-,nhr-4
729,250,259,10,177551,-,nhr-8
730,289,298,10,185483,-,nhr-181
731,353,362,10,185593,-,nhr-182
732,541,550,10,185593,-,nhr-182
733,803,812,10,185593,-,nhr-182
734,628,637,10,175546,-,nhr-20
735,420,429,10,185720,-,nhr-39
